title,url,location,latitude,longitude
Uber Technologies,/boards/vc/consider/jobs/uber?locations=United+States&skills=Machine+Learning,"San Francisco, CA, US",37.7749295,-122.4194155
Cedars-Sinai,/boards/vc/consider/jobs/cedars-sinai?locations=United+States&skills=Machine+Learning,"127 S San Vicente Blvd, Los Angeles 90048",34.0746821,-118.3788037
UNDP,/boards/vc/consider/jobs/undp?locations=United+States&skills=Machine+Learning,"New York, United States",40.7127753,-74.0059728
Augmedix,/boards/vc/consider/jobs/augmedix?locations=United+States&skills=Machine+Learning,"San Francisco, California",37.7749295,-122.4194155
Rubrik,/boards/vc/consider/jobs/rubrik?locations=United+States&skills=Machine+Learning,"Palo Alto, CA",37.4418834,-122.1430195
Anthropic,/boards/vc/consider/jobs/anthropic?locations=United+States&skills=Machine+Learning,"San Francisco, CA",37.7749295,-122.4194155
Goldman Sachs,/boards/vc/consider/jobs/goldman-sachs?locations=United+States&skills=Machine+Learning,"New York, NY, US",40.7127753,-74.0059728
Mantra Bio,/boards/vc/consider/jobs/mantra-bio?locations=United+States&skills=Machine+Learning,"South San Francisco, California, United States",37.654656,-122.4077498
HeadSpace,/boards/vc/consider/jobs/headspace?locations=United+States&skills=Machine+Learning,Remote - United States,43.0059455,-123.8925908
AT&T,/boards/vc/consider/jobs/att?locations=United+States&skills=Machine+Learning,US-Georgia-Atlanta,33.748752,-84.38768449999999
Apartment List,/boards/vc/consider/jobs/apartment-list?locations=United+States&skills=Machine+Learning,Remote within the US,37.09024,-95.712891
The Black Tux,/boards/vc/consider/jobs/the-black-tux?locations=United+States&skills=Machine+Learning,"San Francisco, CA",37.7749295,-122.4194155
Intuitive Surgical,/boards/vc/consider/jobs/intuitive-surgical?locations=United+States&skills=Machine+Learning,"Sunnyvale, CA, us",37.36883,-122.0363496
Capital One,/boards/vc/consider/jobs/capital-one?locations=United+States&skills=Machine+Learning,"McLean, VA · Richmond, VA · Plano, TX",33.0198431,-96.6988856
Bank of America,/boards/vc/consider/jobs/bank-of-america?locations=United+States&skills=Machine+Learning,Charlotte · Jacksonville · Plano · Chandler,33.0198431,-96.6988856
Medalogix,/boards/vc/consider/jobs/medalogix?locations=United+States&skills=Machine+Learning,", , United States",37.09024,-95.712891
